Time,Region,PC,PCC,ECPC,AP,Temperature
2021,MWI,100.84393,10.58977,10.58977,11.781751,1.5 deg at 50% with small overshoot
2021,MYS,171.21721,403.18747,403.18747,519.8992,1.5 deg at 50% with small overshoot
2021,NAM,12.884649,10.88243,10.88243,13.1108885,1.5 deg at 50% with small overshoot
2021,NER,127.573494,16.802145,16.802145,18.601484,1.5 deg at 50% with small overshoot
2021,NGA,1083.613,151.47444,151.47444,176.55832,1.5 deg at 50% with small overshoot
2021,NIC,34.91184,23.514385,23.514385,27.473682,1.5 deg at 50% with small overshoot
2021,NIU,,,0.0057539335,,1.5 deg at 50% with small overshoot
2021,NLD,89.53544,144.09727,144.09727,196.06654,1.5 deg at 50% with small overshoot
2021,NOR,27.703304,45.016373,45.016373,62.153114,1.5 deg at 50% with small overshoot
2021,NPL,150.53587,20.515266,20.515266,23.653349,1.5 deg at 50% with small overshoot
2021,NRU,,,0.053526,,1.5 deg at 50% with small overshoot
2021,NZL,25.9654,18.734217,18.734217,24.899958,1.5 deg at 50% with small overshoot
2021,Northern America,1923.56,5637.082,5637.082,7749.747,1.5 deg at 50% with small overshoot
2021,OMN,23.974998,71.167366,71.167366,93.126144,1.5 deg at 50% with small overshoot
2021,PAK,1180.0409,234.96628,234.96628,274.21112,1.5 deg at 50% with small overshoot
2021,PAN,22.182226,17.553324,17.553324,22.715727,1.5 deg at 50% with small overshoot
2021,PER,171.39133,86.11629,86.11629,104.82235,1.5 deg at 50% with small overshoot
2021,PHL,580.0792,161.76602,161.76602,193.32031,1.5 deg at 50% with small overshoot
2021,PLW,,,0.221749,,1.5 deg at 50% with small overshoot
2021,PNG,50.575165,35.181366,35.181366,40.335964,1.5 deg at 50% with small overshoot
2021,POL,198.10358,302.78607,302.78607,395.92413,1.5 deg at 50% with small overshoot
2021,PRK,133.13443,58.384384,58.384384,65.32385,1.5 deg at 50% with small overshoot
2021,PRT,52.769108,35.639275,35.639275,46.47568,1.5 deg at 50% with small overshoot
2021,PRY,34.189114,63.943443,63.943443,78.62148,1.5 deg at 50% with small overshoot
2021,PSE,26.089628,0.08203696,0.08203696,,1.5 deg at 50% with small overshoot
2021,QAT,14.826498,107.2195,107.2195,152.9636,1.5 deg at 50% with small overshoot
2021,ROU,99.44581,67.26156,67.26156,86.82031,1.5 deg at 50% with small overshoot
2021,RUS,747.98413,1758.4497,1758.4497,2257.8164,1.5 deg at 50% with small overshoot
2021,RWA,68.306465,2.303478,2.303478,2.5990596,1.5 deg at 50% with small overshoot
2021,SAU,189.08923,632.5385,632.5385,849.14056,1.5 deg at 50% with small overshoot
2021,SDN,231.1087,50.902245,50.902245,58.828773,1.5 deg at 50% with small overshoot
2021,SEN,85.46793,12.953287,12.953287,14.889281,1.5 deg at 50% with small overshoot
2021,SGP,30.480907,55.968033,55.968033,80.56014,1.5 deg at 50% with small overshoot
2021,SIDS,,,220.62587,,1.5 deg at 50% with small overshoot
2021,SLB,3.5937965,3.1948392,3.1948392,3.5932713,1.5 deg at 50% with small overshoot
2021,SLE,42.749855,9.601671,9.601671,10.718657,1.5 deg at 50% with small overshoot
2021,SLV,32.342655,5.0502152,5.0502152,6.0411553,1.5 deg at 50% with small overshoot
2021,SMR,,,,,1.5 deg at 50% with small overshoot
2021,SOM,86.37035,16.87776,16.87776,18.809383,1.5 deg at 50% with small overshoot
2021,SRB,37.675327,36.920525,36.920525,46.272484,1.5 deg at 50% with small overshoot
2021,SSD,54.693233,8.683283,8.683283,,1.5 deg at 50% with small overshoot
2021,STP,1.1319628,0.1459869,0.1459869,0.16780901,1.5 deg at 50% with small overshoot
2021,SUR,3.1304011,6.595868,6.595868,8.1724,1.5 deg at 50% with small overshoot
2021,SVK,28.066273,32.48184,32.48184,,1.5 deg at 50% with small overshoot
2021,SVN,10.86375,14.109641,14.109641,18.607838,1.5 deg at 50% with small overshoot
2021,SWE,53.24971,50.919636,50.919636,68.98937,1.5 deg at 50% with small overshoot
2021,SWZ,6.08705,-0.028237227,-0.028237227,-0.03385058,1.5 deg at 50% with small overshoot
2021,SYC,0.5433067,0.662611,0.662611,,1.5 deg at 50% with small overshoot
2021,SYR,106.84291,26.595558,26.595558,,1.5 deg at 50% with small overshoot
2021,TCD,87.01179,29.233738,29.233738,32.54383,1.5 deg at 50% with small overshoot
2021,TGO,43.870316,3.213035,3.213035,3.621265,1.5 deg at 50% with small overshoot
